SMA,year,emp
"Alexandria, LA",1982,12162.079119554292
"Alexandria, LA",1983,11937.434177127261
"Alexandria, LA",1984,12004.308265836451
"Alexandria, LA",1985,12575.34171792846
"Alexandria, LA",1986,10791.777929172446
"Alexandria, LA",1987,11022.82391190997
"Alexandria, LA",1988,12051.004780927942
"Alexandria, LA",1989,12129.91161017277
"Alexandria, LA",1990,12889.842130701869
"Alexandria, LA",1991,12481.17480266911
"Alexandria, LA",1992,11765.525254716089
"Alexandria, LA",1993,13272.715498741898
"Alexandria, LA",1994,13034.149963483365
"Alexandria, LA",1995,13208.374200638054
"Alexandria, LA",1996,13670.355290903983
"Alexandria, LA",1997,14811.832501735089
"Alexandria, LA",1998,45511.000077039
"Alexandria, LA",1999,45832.00008358061
"Alexandria, LA",2000,48097.00008198619
"Alexandria, LA",2001,47139.000077575445
"Alexandria, LA",2002,46496.00008188188
"Alexandria, LA",2003,46479.0
"Alexandria, LA",2004,48015.0
"Alexandria, LA",2005,48302.0
"Alexandria, LA",2006,48518.0
"Alexandria, LA",2007,48775.0
"Alexandria, LA",2008,49104.0
"Alexandria, LA",2009,49204.0
"Alexandria, LA",2010,47139.0
"Alexandria, LA",2011,46701.0
"Alexandria, LA",2012,46280.0
"Alexandria, LA",2013,47569.0
"Alexandria, LA",2014,47876.0
"Alexandria, LA",2015,47226.0
"Alexandria, LA",2016,47342.0
"Alexandria, LA",2017,39010.0
"Alexandria, LA",2018,40844.0
"Allentown-Bethlehem-Easton, PA",1975,121800.20905578334
"Allentown-Bethlehem-Easton, PA",1976,120730.61862198007
"Allentown-Bethlehem-Easton, PA",1977,123366.45131298844
"Allentown-Bethlehem-Easton, PA",1978,123969.32565210859
"Allentown-Bethlehem-Easton, PA",1979,129168.38796269361
"Allentown-Bethlehem-Easton, PA",1980,129175.58506026158
"Allentown-Bethlehem-Easton, PA",1981,123050.77905060268
"Allentown-Bethlehem-Easton, PA",1982,121921.50658060024
"Allentown-Bethlehem-Easton, PA",1983,112853.43578586921
"Allentown-Bethlehem-Easton, PA",1984,117468.97422445763
"Allentown-Bethlehem-Easton, PA",1985,117835.87341290874
"Allentown-Bethlehem-Easton, PA",1986,108339.26686514972
"Allentown-Bethlehem-Easton, PA",1987,112188.92321806276
"Allentown-Bethlehem-Easton, PA",1988,119281.4794849081
"Allentown-Bethlehem-Easton, PA",1989,118466.30461069799
"Allentown-Bethlehem-Easton, PA",1990,118587.07102670614
"Allentown-Bethlehem-Easton, PA",1991,112226.30063985604
"Allentown-Bethlehem-Easton, PA",1992,112590.59665329437
"Allentown-Bethlehem-Easton, PA",1993,112362.33545646328
"Allentown-Bethlehem-Easton, PA",1994,118707.35601582905
"Allentown-Bethlehem-Easton, PA",1995,118023.90983031839
"Allentown-Bethlehem-Easton, PA",1996,119428.89369160439
"Allentown-Bethlehem-Easton, PA",1997,123502.01228919215
"Allentown-Bethlehem-Easton, PA",1998,243964.0004800707
"Allentown-Bethlehem-Easton, PA",1999,247236.00049607456
"Allentown-Bethlehem-Easton, PA",2000,251187.00050604343
"Allentown-Bethlehem-Easton, PA",2001,255853.00049363077
"Allentown-Bethlehem-Easton, PA",2002,252334.00049196184
"Allentown-Bethlehem-Easton, PA",2003,254005.00000742078
"Allentown-Bethlehem-Easton, PA",2004,257572.00000745058
"Allentown-Bethlehem-Easton, PA",2005,261824.00000876188
"Allentown-Bethlehem-Easton, PA",2006,268699.00000564754
"Allentown-Bethlehem-Easton, PA",2007,270843.00000603497
"Allentown-Bethlehem-Easton, PA",2008,269787.0
"Allentown-Bethlehem-Easton, PA",2009,258894.0000001341
"Allentown-Bethlehem-Easton, PA",2010,255873.0
"Allentown-Bethlehem-Easton, PA",2011,260638.0
"Allentown-Bethlehem-Easton, PA",2012,276081.0
"Allentown-Bethlehem-Easton, PA",2013,275309.0
"Allentown-Bethlehem-Easton, PA",2014,280209.0
"Allentown-Bethlehem-Easton, PA",2015,285001.0
"Allentown-Bethlehem-Easton, PA",2016,291796.0
"Allentown-Bethlehem-Easton, PA",2017,262095.0
"Allentown-Bethlehem-Easton, PA",2018,274559.0
"Altoona, PA",1975,17737.851341227644
"Altoona, PA",1976,18116.334084432598
"Altoona, PA",1977,18549.552177123278
"Altoona, PA",1978,18704.82221424608
